id,total,menta_health,illness,money,family,relationship,bereavement,employment,abuse,others,unknown
Seoul,2441,798,515,396,263,114,12,164,15,59,105
Busan,1066,307,246,267,111,48,8,82,7,58,32
Daegu,705,234,145,115,72,24,2,42,7,41,23
Incheon,827,233,178,130,76,32,8,62,8,57,43
Gwangju,397,126,83,63,37,16,1,25,4,28,14
Daejeon,407,113,94,59,31,16,0,18,1,51,24
Ulsan,262,81,37,55,25,13,1,17,1,17,15
Gyeonggi-do,3240,845,688,560,350,159,21,203,7,234,173
Gangwon-do,671,191,185,92,67,20,6,41,3,35,31
Chungcheongbuk-do,532,169,143,79,59,20,2,28,0,15,17
Chungcheongnam-do,1010,328,294,140,91,23,7,44,3,40,40
Jeollabuk-do,594,173,192,75,70,21,6,27,1,12,17
Jeollanam-do,572,159,145,62,71,30,4,31,1,45,24
Gyeongsangbuk-do,919,271,219,111,95,35,8,44,6,78,52
Gyeongsangnam-do,977,273,255,204,82,30,5,68,1,19,40
Jeju,159,56,23,19,19,6,1,3,,11,21
total,14779,4357,3442,2327,1519,607,92,899,65,800,671
